feature_id,correct_answer,n_prompts,n_nonzero,mean_effect,mean_abs_effect,max_abs_effect,sfr,n_flip,layer,community,grad_attr_sign,role_label
L24_F153576,photon,152,151,-1.5855263157894737,1.597861842105263,7.25,0.039473684210526314,6,24.0,2.0,1.0,α-attr
L24_F153576,proton,80,79,-1.196875,1.246484375,3.078125,0.0,0,24.0,2.0,1.0,α-attr
L24_F163125,electron,80,80,-1.7556640625,1.7685546875,4.5625,0.0125,1,,,,
L24_F163125,neutron,135,135,-1.760300925925926,1.8052083333333333,7.9375,0.007407407407407408,1,,,,
L24_F163125,photon,152,152,-1.5045230263157894,1.5238486842105263,7.25,0.039473684210526314,6,,,,
L24_F163125,proton,80,80,-1.1041015625,1.1654296875,3.078125,0.0,0,,,,
L24_F38741,electron,80,79,-1.581640625,1.602734375,4.28125,0.0,0,,,,
L24_F38741,neutron,135,133,-1.5822916666666667,1.6288194444444444,7.5625,0.014814814814814815,2,,,,
L24_F38741,photon,152,152,-1.3900082236842106,1.4150904605263157,6.5,0.02631578947368421,4,,,,
L24_F38741,proton,80,80,-1.1326171875,1.1814453125,2.984375,0.0,0,,,,
L25_F149731,electron,80,80,-1.39296875,1.40234375,3.65625,0.0,0,,,,
L25_F149731,neutron,135,135,-1.9177083333333333,1.9306712962962962,5.25,0.014814814814814815,2,,,,
L25_F149731,photon,152,152,-1.6546052631578947,1.662828947368421,4.9375,0.046052631578947366,7,,,,
L25_F149731,proton,80,79,-1.0271484375,1.0830078125,2.375,0.0,0,,,,
L25_F15948,electron,80,80,-1.4126953125,1.4228515625,3.625,0.0,0,25.0,0.0,1.0,α-attr
L25_F15948,neutron,135,135,-1.9586805555555555,1.9697916666666666,5.25,0.014814814814814815,2,25.0,0.0,1.0,α-attr
L25_F15948,photon,152,151,-1.645045230263158,1.652857730263158,5.0,0.046052631578947366,7,25.0,0.0,1.0,α-attr
L25_F15948,proton,80,80,-0.9873046875,1.0447265625,2.28125,0.0,0,25.0,0.0,1.0,α-attr
