cluster,prompt_idx,correct_answer,filter_property,wording_family,nd_baseline,nd_ablated,delta_nd,abs_delta_nd,sign_flip
2,170,neutron,neutral_charge_atomic,F2_contextual_implicit,9.182068824768066,10.273460388183594,1.0913915634155273,1.0913915634155273,False
2,309,electron,negative_charge_atomic,F3_process_implicit,10.942475318908691,4.967867851257324,-5.974607467651367,5.974607467651367,False
2,62,photon,em_quantum,F2_contextual_implicit,2.869659423828125,0.12144947052001953,-2.7482099533081055,2.7482099533081055,False
2,134,neutron,neutral_charge_atomic,F2_contextual_implicit,9.455825805664062,8.09183406829834,-1.3639917373657227,1.3639917373657227,False
2,64,proton,positive_charge_atomic,F3_process_implicit,3.37088942527771,-0.46631908416748047,-3.8372085094451904,3.8372085094451904,True
2,259,electron,negative_charge_atomic,F4_contrast_implicit,6.56578254699707,4.115169048309326,-2.450613498687744,2.450613498687744,False
2,67,photon,em_quantum,F4_contrast_implicit,6.686615943908691,2.6150808334350586,-4.071535110473633,4.071535110473633,False
2,200,proton,positive_charge_atomic,F2_contextual_implicit,1.974212646484375,-1.2848806381225586,-3.2590932846069336,3.2590932846069336,True
2,152,proton,positive_charge_atomic,F2_contextual_implicit,6.780911445617676,5.155364990234375,-1.6255464553833008,1.6255464553833008,False
2,308,electron,negative_charge_atomic,F4_contrast_implicit,5.525392532348633,2.089101791381836,-3.436290740966797,3.436290740966797,False
2,153,neutron,neutral_charge_atomic,F1_direct_implicit,6.354726314544678,1.7500534057617188,-4.604672908782959,4.604672908782959,False
2,247,photon,massless_em_mediator,F1_direct_implicit,5.987273216247559,-0.46329212188720703,-6.450565338134766,6.450565338134766,True
2,363,neutron,neutral_charge_atomic,F2_contextual_implicit,12.417594909667969,8.405010223388672,-4.012584686279297,4.012584686279297,False
2,71,proton,positive_charge_atomic,F2_contextual_implicit,6.680458068847656,5.715976238250732,-0.9644818305969238,0.9644818305969238,False
2,339,neutron,neutral_charge_atomic,F1_direct_implicit,8.576652526855469,5.002391815185547,-3.574260711669922,3.574260711669922,False
2,397,electron,negative_charge_atomic,F3_process_implicit,7.638592720031738,4.121515274047852,-3.5170774459838867,3.5170774459838867,False
2,86,neutron,nuclear_stability_provider,F4_contrast_implicit,10.538253784179688,7.940160751342773,-2.598093032836914,2.598093032836914,False
2,376,electron,negative_charge_atomic,F2_contextual_implicit,4.905244827270508,2.6515238285064697,-2.253720998764038,2.253720998764038,False
2,352,neutron,nuclear_stability_provider,F3_process_implicit,6.511344909667969,1.880117416381836,-4.631227493286133,4.631227493286133,False
2,46,neutron,neutral_charge_atomic,F1_direct_implicit,10.675970077514648,13.589374542236328,2.9134044647216797,2.9134044647216797,False
2,69,photon,em_quantum,F3_process_implicit,3.0596303939819336,-0.3230018615722656,-3.382632255554199,3.382632255554199,True
2,307,photon,massless_em_mediator,F3_process_implicit,5.322044849395752,5.161759853363037,-0.16028499603271484,0.16028499603271484,False
2,332,photon,em_quantum,F3_process_implicit,4.137260437011719,0.4098682403564453,-3.7273921966552734,3.7273921966552734,False
2,79,photon,massless_em_mediator,F4_contrast_implicit,8.820823669433594,1.8917608261108398,-6.929062843322754,6.929062843322754,False
2,302,neutron,neutral_charge_atomic,F3_process_implicit,10.096578598022461,2.614107131958008,-7.482471466064453,7.482471466064453,False
2,446,photon,em_quantum,F2_contextual_implicit,1.0662431716918945,1.0306501388549805,-0.03559303283691406,0.03559303283691406,False
2,443,photon,massless_em_mediator,F2_contextual_implicit,6.272970676422119,2.342662811279297,-3.9303078651428223,3.9303078651428223,False
